,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pw_pred_err_mu,pw_pred_err_std,mahalanobis_mu,mahalanobis_std,kalmanw_pred_err_mu,kalmanw_pred_err_std
Abtäs,342.72549043577527,4.232852731924333e-09,16.463998214778748,8.631599598591777e-11,366.17606986443644,4.733025793754286e-09,12.798826728305201,1.0243995927875484e-10,392290914420.81445,5792633938.090038,31.80533243635314,1.2969892519758188e-08,12.798823559435252,9.916224099458904e-11
Abtäs,342.72549043577527,4.232852731924333e-09,16.463998214778748,8.631599598591777e-11,366.17606986443644,4.733025793754286e-09,12.798826728305201,1.0243995927875484e-10,392290914420.81445,5792633938.090038,31.80533243635314,1.2969892519758188e-08,12.798823559435252,9.916224099458904e-11
Abtäs,342.72549043577527,4.232852731924333e-09,16.463998214778748,8.631599598591777e-11,366.17606986443644,4.733025793754286e-09,12.798826728305201,1.0243995927875484e-10,392290914420.81445,5792633938.090038,31.80533243635314,1.2969892519758188e-08,12.798823559435252,9.916224099458904e-11
Abtäs,342.72549043577527,4.232852731924333e-09,16.463998214778748,8.631599598591777e-11,366.17606986443644,4.733025793754286e-09,12.798826728305201,1.0243995927875484e-10,392290914420.81445,5792633938.090038,31.80533243635314,1.2969892519758188e-08,12.798823559435252,9.916224099458904e-11
Acker,314.7176473030798,4.4421302999927294e-09,15.959159237000113,1.0050672196009412e-10,365.0646745361803,4.783885745283515e-09,12.69213942323484,1.103828822103835e-10,392515554751.31866,7141534996.78388,14.818624712060748,8.097256983010232e-09,12.692134421510291,1.0046942621923448e-10
Acker,314.7176473030798,4.4421302999927294e-09,15.959159237000113,1.0050672196009412e-10,365.0646745361803,4.783885745283515e-09,12.69213942323484,1.103828822103835e-10,392515554751.31866,7141534996.78388,14.818624712060748,8.097256983010232e-09,12.692134421510291,1.0046942621923448e-10
Acker,314.7176473030798,4.4421302999927294e-09,15.959159237000113,1.0050672196009412e-10,365.0646745361803,4.783885745283515e-09,12.69213942323484,1.103828822103835e-10,392515554751.31866,7141534996.78388,14.818624712060748,8.097256983010232e-09,12.692134421510291,1.0046942621923448e-10
Acker,314.7176473030798,4.4421302999927294e-09,15.959159237000113,1.0050672196009412e-10,365.0646745361803,4.783885745283515e-09,12.69213942323484,1.103828822103835e-10,392515554751.31866,7141534996.78388,14.818624712060748,8.097256983010232e-09,12.692134421510291,1.0046942621923448e-10
Adern,332.22352965335676,4.017234433045271e-09,16.396478931098876,1.0287057677202739e-10,362.3662488038995,5.242158908250075e-09,12.703285341358418,1.0725009944376798e-10,393656532876.5447,7168746186.859099,14.085171707386023,9.430246599361278e-09,12.703284310241301,9.755047077545161e-11
Adern,332.22352965335676,4.017234433045271e-09,16.396478931098876,1.0287057677202739e-10,362.3662488038995,5.242158908250075e-09,12.703285341358418,1.0725009944376798e-10,393656532876.5447,7168746186.859099,14.085171707386023,9.430246599361278e-09,12.703284310241301,9.755047077545161e-11
Adern,332.22352965335676,4.017234433045271e-09,16.396478931098876,1.0287057677202739e-10,362.3662488038995,5.242158908250075e-09,12.703285341358418,1.0725009944376798e-10,393656532876.5447,7168746186.859099,14.085171707386023,9.430246599361278e-09,12.703284310241301,9.755047077545161e-11
Adern,332.22352965335676,4.017234433045271e-09,16.396478931098876,1.0287057677202739e-10,362.3662488038995,5.242158908250075e-09,12.703285341358418,1.0725009944376798e-10,393656532876.5447,7168746186.859099,14.085171707386023,9.430246599361278e-09,12.703284310241301,9.755047077545161e-11
Adler,318.09411789232644,4.123867495098678e-09,16.131044477178932,1.0900511240211987e-10,363.70741324316464,4.606194861241858e-09,12.627615646304143,1.1139201395226782e-10,392911027155.88257,7935370980.49888,13.634696454969442,1.1695002548562567e-08,12.62760739712106,1.0146793242429173e-10
Adler,318.09411789232644,4.123867495098678e-09,16.131044477178932,1.0900511240211987e-10,363.70741324316464,4.606194861241858e-09,12.627615646304143,1.1139201395226782e-10,392911027155.88257,7935370980.49888,13.634696454969442,1.1695002548562567e-08,12.62760739712106,1.0146793242429173e-10
Adler,318.09411789232644,4.123867495098678e-09,16.131044477178932,1.0900511240211987e-10,363.70741324316464,4.606194861241858e-09,12.627615646304143,1.1139201395226782e-10,392911027155.88257,7935370980.49888,13.634696454969442,1.1695002548562567e-08,12.62760739712106,1.0146793242429173e-10
Adler,318.09411789232644,4.123867495098678e-09,16.131044477178932,1.0900511240211987e-10,363.70741324316464,4.606194861241858e-09,12.627615646304143,1.1139201395226782e-10,392911027155.88257,7935370980.49888,13.634696454969442,1.1695002548562567e-08,12.62760739712106,1.0146793242429173e-10
Adria,314.6941178924759,3.880506083202743e-09,16.01259932609471,9.51924771779918e-11,368.97619768086906,5.299862514692784e-09,12.746537067175415,1.0503289171493233e-10,392312754701.41797,6345031109.484563,14.92620506798982,1.0088446044788502e-08,12.746541783874884,1.07054027978722e-10
Adria,314.6941178924759,3.880506083202743e-09,16.01259932609471,9.51924771779918e-11,368.97619768086906,5.299862514692784e-09,12.746537067175415,1.0503289171493233e-10,392312754701.41797,6345031109.484563,14.92620506798982,1.0088446044788502e-08,12.746541783874884,1.07054027978722e-10
Adria,314.6941178924759,3.880506083202743e-09,16.01259932609471,9.51924771779918e-11,368.97619768086906,5.299862514692784e-09,12.746537067175415,1.0503289171493233e-10,392312754701.41797,6345031109.484563,14.92620506798982,1.0088446044788502e-08,12.746541783874884,1.07054027978722e-10
Adria,314.6941178924759,3.880506083202743e-09,16.01259932609471,9.51924771779918e-11,368.97619768086906,5.299862514692784e-09,12.746537067175415,1.0503289171493233e-10,392312754701.41797,6345031109.484563,14.92620506798982,1.0088446044788502e-08,12.746541783874884,1.07054027978722e-10
Affen,320.66274534354955,3.990926586049516e-09,16.306033725916038,9.322527264801685e-11,362.96242600204243,4.598376867099003e-09,12.713308292525662,9.75560099237268e-11,391587600494.7548,6693495425.489945,15.037612705574407,1.1339393617121841e-08,12.71329386237373,1.03482214164982e-10
Affen,320.66274534354955,3.990926586049516e-09,16.306033725916038,9.322527264801685e-11,362.96242600204243,4.598376867099003e-09,12.713308292525662,9.75560099237268e-11,391587600494.7548,6693495425.489945,15.037612705574407,1.1339393617121841e-08,12.71329386237373,1.03482214164982e-10
Affen,320.66274534354955,3.990926586049516e-09,16.306033725916038,9.322527264801685e-11,362.96242600204243,4.598376867099003e-09,12.713308292525662,9.75560099237268e-11,391587600494.7548,6693495425.489945,15.037612705574407,1.1339393617121841e-08,12.71329386237373,1.03482214164982e-10
Affen,320.66274534354955,3.990926586049516e-09,16.306033725916038,9.322527264801685e-11,362.96242600204243,4.598376867099003e-09,12.713308292525662,9.75560099237268e-11,391587600494.7548,6693495425.489945,15.037612705574407,1.1339393617121841e-08,12.71329386237373,1.03482214164982e-10
Agent,333.3019610259803,3.689403247826369e-09,16.366667488860454,8.589667325812902e-11,356.08271406398194,5.237953838445625e-09,12.542906564152972,9.310280928955495e-11,391230357322.108,7370872912.600017,33.636823349570065,1.9154889538644026e-09,12.542903033603785,1.0399637852643093e-10
Agent,333.3019610259803,3.689403247826369e-09,16.366667488860454,8.589667325812902e-11,356.08271406398194,5.237953838445625e-09,12.542906564152972,9.310280928955495e-11,391230357322.108,7370872912.600017,33.636823349570065,1.9154889538644026e-09,12.542903033603785,1.0399637852643093e-10
Agent,333.3019610259803,3.689403247826369e-09,16.366667488860454,8.589667325812902e-11,356.08271406398194,5.237953838445625e-09,12.542906564152972,9.310280928955495e-11,391230357322.108,7370872912.600017,33.636823349570065,1.9154889538644026e-09,12.542903033603785,1.0399637852643093e-10
Agent,333.3019610259803,3.689403247826369e-09,16.366667488860454,8.589667325812902e-11,356.08271406398194,5.237953838445625e-09,12.542906564152972,9.310280928955495e-11,391230357322.108,7370872912.600017,33.636823349570065,1.9154889538644026e-09,12.542903033603785,1.0399637852643093e-10
Ahnen,336.0980394584908,3.758424659711824e-09,16.41641464333859,8.825465110493428e-11,337.1418824753515,4.97355085473634e-09,11.837670312487074,1.0785927695725152e-10,391108025259.78827,7272126941.032874,10.526263978300385,1.8658885604129572e-08,11.837674712946033,8.875143927549442e-11
Ahnen,336.0980394584908,3.758424659711824e-09,16.41641464333859,8.825465110493428e-11,337.1418824753515,4.97355085473634e-09,11.837670312487074,1.0785927695725152e-10,391108025259.78827,7272126941.032874,10.526263978300385,1.8658885604129572e-08,11.837674712946033,8.875143927549442e-11
Ahnen,336.0980394584908,3.758424659711824e-09,16.41641464333859,8.825465110493428e-11,337.1418824753515,4.97355085473634e-09,11.837670312487074,1.0785927695725152e-10,391108025259.78827,7272126941.032874,10.526263978300385,1.8658885604129572e-08,11.837674712946033,8.875143927549442e-11
Ahnen,336.0980394584908,3.758424659711824e-09,16.41641464333859,8.825465110493428e-11,337.1418824753515,4.97355085473634e-09,11.837670312487074,1.0785927695725152e-10,391108025259.78827,7272126941.032874,10.526263978300385,1.8658885604129572e-08,11.837674712946033,8.875143927549442e-11
Aigön,330.5019610272754,4.366132724895421e-09,16.28709175818735,9.322459142912892e-11,362.5930787713632,4.609912189197871e-09,12.65064969592734,1.0407363378563945e-10,390798480644.8273,6710853477.193333,23.21729389636797,4.396629484148452e-09,12.650650821836404,1.0288628771909409e-10
Aigön,330.5019610272754,4.366132724895421e-09,16.28709175818735,9.322459142912892e-11,362.5930787713632,4.609912189197871e-09,12.65064969592734,1.0407363378563945e-10,390798480644.8273,6710853477.193333,23.21729389636797,4.396629484148452e-09,12.650650821836404,1.0288628771909409e-10
Akkus,342.3019610236198,4.04888719595635e-09,16.64701817588161,9.611782948913294e-11,393.31866805892065,4.665673175516313e-09,13.697449612531921,9.199474256202515e-11,392200118572.07556,7276426668.824737,20.585360634189755,5.159152666478695e-09,13.697439764454817,1.0164660245023469e-10
Akkus,342.3019610236198,4.04888719595635e-09,16.64701817588161,9.611782948913294e-11,393.31866805892065,4.665673175516313e-09,13.697449612531921,9.199474256202515e-11,392200118572.07556,7276426668.824737,20.585360634189755,5.159152666478695e-09,13.697439764454817,1.0164660245023469e-10
Akkus,342.3019610236198,4.04888719595635e-09,16.64701817588161,9.611782948913294e-11,393.31866805892065,4.665673175516313e-09,13.697449612531921,9.199474256202515e-11,392200118572.07556,7276426668.824737,20.585360634189755,5.159152666478695e-09,13.697439764454817,1.0164660245023469e-10
Akkus,342.3019610236198,4.04888719595635e-09,16.64701817588161,9.611782948913294e-11,393.31866805892065,4.665673175516313e-09,13.697449612531921,9.199474256202515e-11,392200118572.07556,7276426668.824737,20.585360634189755,5.159152666478695e-09,13.697439764454817,1.0164660245023469e-10
Aktie,308.4901963248549,4.117849143239911e-09,15.989663616235704,9.438622387805641e-11,376.2591077283945,4.978418315400863e-09,13.052204994762741,8.570144368894712e-11,391380678243.33765,6322880932.779367,18.512158519673697,6.003384822528196e-09,13.052198377286915,1.0163807328858805e-10
Aktie,308.4901963248549,4.117849143239911e-09,15.989663616235704,9.438622387805641e-11,376.2591077283945,4.978418315400863e-09,13.052204994762741,8.570144368894712e-11,391380678243.33765,6322880932.779367,18.512158519673697,6.003384822528196e-09,13.052198377286915,1.0163807328858805e-10
Aktie,308.4901963248549,4.117849143239911e-09,15.989663616235704,9.438622387805641e-11,376.2591077283945,4.978418315400863e-09,13.052204994762741,8.570144368894712e-11,391380678243.33765,6322880932.779367,18.512158519673697,6.003384822528196e-09,13.052198377286915,1.0163807328858805e-10
Aktie,308.4901963248549,4.117849143239911e-09,15.989663616235704,9.438622387805641e-11,376.2591077283945,4.978418315400863e-09,13.052204994762741,8.570144368894712e-11,391380678243.33765,6322880932.779367,18.512158519673697,6.003384822528196e-09,13.052198377286915,1.0163807328858805e-10
Alarm,323.4078433838673,3.837890864783619e-09,16.196199496297996,9.544323620965676e-11,404.90963041191907,4.913531698032022e-09,13.799672641051222,1.0436186770123846e-10,392596298431.2516,6619533402.64278,12.01086406990944,3.290939512782129e-08,13.799677578881152,1.0440344659887452e-10
Alarm,323.4078433838673,3.837890864783619e-09,16.196199496297996,9.544323620965676e-11,404.90963041191907,4.913531698032022e-09,13.799672641051222,1.0436186770123846e-10,392596298431.2516,6619533402.64278,12.01086406990944,3.290939512782129e-08,13.799677578881152,1.0440344659887452e-10
Alarm,323.4078433838673,3.837890864783619e-09,16.196199496297996,9.544323620965676e-11,404.90963041191907,4.913531698032022e-09,13.799672641051222,1.0436186770123846e-10,392596298431.2516,6619533402.64278,12.01086406990944,3.290939512782129e-08,13.799677578881152,1.0440344659887452e-10
Alarm,323.4078433838673,3.837890864783619e-09,16.196199496297996,9.544323620965676e-11,404.90963041191907,4.913531698032022e-09,13.799672641051222,1.0436186770123846e-10,392596298431.2516,6619533402.64278,12.01086406990944,3.290939512782129e-08,13.799677578881152,1.0440344659887452e-10
Alben,330.59607867604893,3.997603505705906e-09,16.357527922133862,9.573062452860074e-11,358.73798824458373,5.206120925232843e-09,12.527309133724138,9.569769093124901e-11,391424616432.61633,6712103068.528111,8.980669747233627,1.0182470275815466e-08,12.527313537796973,9.739905513693913e-11
Alben,330.59607867604893,3.997603505705906e-09,16.357527922133862,9.573062452860074e-11,358.73798824458373,5.206120925232843e-09,12.527309133724138,9.569769093124901e-11,391424616432.61633,6712103068.528111,8.980669747233627,1.0182470275815466e-08,12.527313537796973,9.739905513693913e-11
Algen,331.45098063632526,3.845593132200881e-09,16.362906635807782,1.0373909001830671e-10,359.2000734477444,5.19309846720461e-09,12.53942120694764,9.479728515808598e-11,392242559006.7988,6974013895.026714,8.196674907810129,1.1768108269297042e-08,12.539425671057328,1.018795552918977e-10
Algen,331.45098063632526,3.845593132200881e-09,16.362906635807782,1.0373909001830671e-10,359.2000734477444,5.19309846720461e-09,12.53942120694764,9.479728515808598e-11,392242559006.7988,6974013895.026714,8.196674907810129,1.1768108269297042e-08,12.539425671057328,1.018795552918977e-10
